taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2312877	Fimbriosthenelais marianae Lana, 1991	2312877	Fimbriosthenelais marianae Lana, 1991	37	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Polychaeta	256	Phyllodocida	1079	Sigalionidae	7081	Fimbriosthenelais	2312871	Fimbriosthenelais marianae	2312877	
8231708	Loimia armata Carrerette & Nogueira, 2015	8231708	Loimia armata Carrerette & Nogueira, 2015	24	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Polychaeta	256			Terebellidae	2487	Loimia	2325230	Loimia armata	8231708	
2319581	Euclymene droebachiensis (Sars, 1872)	2319581	Euclymene droebachiensis (Sars, 1872)	3	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Polychaeta	256			Maldanidae	6284	Euclymene	2319539	Euclymene droebachiensis	2319581	
2324651	Polycirrus hamiltoni Benham, 1921	2324651	Polycirrus hamiltoni Benham, 1921	4	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Polychaeta	256			Terebellidae	2487	Polycirrus	2324818	Polycirrus hamiltoni	2324651	
2313594	Harmothoe crosetensis (McIntosh, 1885)	2313594	Harmothoe crosetensis (McIntosh, 1885)	4	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Polychaeta	256	Phyllodocida	1079	Polynoidae	7078	Harmothoe	2315129	Harmothoe crosetensis	2313594	
2322762	Augeneria tentaculata Monro, 1930	2322762	Augeneria tentaculata Monro, 1930	21	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Polychaeta	256	Eunicida	865	Lumbrineridae	2051	Augeneria	2322760	Augeneria tentaculata	2322762	
2326672	Salmacina dysteri (Huxley, 1855)	2326672	Salmacina dysteri (Huxley, 1855)	1	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Polychaeta	256	Sabellida	1080	Serpulidae	7086	Salmacina	2326668	Salmacina dysteri	2326672	
10138832	Asychis chilensis (Hartmann-Schröder, 1965)	10138832	Asychis chilensis (Hartmann-Schröder, 1965)	2	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Polychaeta	256			Maldanidae	6284	Asychis	2243107	Asychis chilensis	10138832	
7923291	Noanelia orensanzi Schüller & Jirkov, 2013	7923291	Noanelia orensanzi Schüller & Jirkov, 2013	8	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Polychaeta	256			Ampharetidae	7093	Noanelia	2325877	Noanelia orensanzi	7923291	
2326221	Trichobranchus polychaetus Wang & Wu, 1988	2326221	Trichobranchus polychaetus Wang & Wu, 1988	3	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Polychaeta	256			Trichobranchidae	5756	Trichobranchus	2326214	Trichobranchus polychaetus	2326221	
2323546	Diopatra ornata Moore, 1911	2323546	Diopatra ornata Moore, 1911	34	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Polychaeta	256	Eunicida	865	Onuphidae	2053	Diopatra	2323696	Diopatra ornata	2323546	
6153435	Syllis gracilis magellanica Augener, 1918	6153435	Syllis gracilis magellanica Augener, 1918	1	SUBSPECIES	ACCEPTED	Animalia	1	Annelida	42	Polychaeta	256	Phyllodocida	1079	Syllidae	3588	Syllis	10708099	Syllis gracilis	5194622	
2313230	Vanadis minuta Treadwell, 1906	2313230	Vanadis minuta Treadwell, 1906	3	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Polychaeta	256	Phyllodocida	1079	Phyllodocidae	6973	Vanadis	2313205	Vanadis minuta	2313230	
